speed,cadence,step_width_left,step_width_right,step_width_average,step_length_left,step_length_right,step_length_average,step_time_left,step_time_right,step_time_average,stride_length_left,stride_length_right,stride_length_average,stride_time_left,stride_time_right,stride_time_average,stance_time_left,stance_time_right,swing_time_left,swing_time_right,single_support_time_left,single_support_time_right,double_support_time_left,double_support_time_right
407.8608759660082,85.3816300129366,nan,nan,284.7955359883384,nan,nan,249.31923517045684,nan,0.64,0.7027272727272726,nan,nan,494.3685979272771,nan,nan,1.4220000000000002,nan,nan,nan,0.44,nan,nan,nan,nan
,,318.4017344490192,317.73908288049284,,352.8902317164025,195.03249506752275,,0.66,0.6,,746.7709757060728,548.5194896674137,,1.3,1.26,,0.7100000000000001,0.91,0.59,0.35,0.8600000000000001,0.67,0.2700000000000001,0.32000000000000006
,,329.99188032223674,303.27512946607703,,270.31480682077813,113.56268914029032,,0.69,0.62,,443.8116593668535,413.5442414272505,,1.29,1.31,,0.98,0.99,0.31,0.32,0.9400000000000001,1.0,0.63,0.6799999999999999
,,278.8653732140866,270.7602630312524,,230.53116001271536,158.8309648049995,,0.6,0.65,,395.17134994095915,398.8296982972557,,1.22,1.25,,0.9199999999999999,0.97,0.3,0.28,0.8999999999999999,0.95,0.5999999999999999,0.6699999999999999
,,261.6747499760728,257.0697342046778,,220.80485370480363,586.6411866600711,,0.67,1.31,,805.406474772484,406.492505916702,,2.63,1.31,,2.31,1.01,0.32,0.3,2.3499999999999996,0.99,2.0300000000000002,0.69
,,248.970641072308,261.2067712671606,,181.72612353154946,182.85784024543568,,0.6,0.69,,380.9234803892247,404.21610378855524,,1.29,1.36,,1.0,1.07,0.29,0.29,0.99,1.07,0.7,0.78
